ltable_Song_Name,ltable_Artist_Name,ltable_Album_Name,ltable_Genre,ltable_Price,ltable_CopyRight,ltable_Time,rtable_Song_Name,rtable_Artist_Name,rtable_Album_Name,rtable_Genre,rtable_Price,rtable_CopyRight,rtable_Time,rtable_Released,Truth
"White Horse Taylor Swift Fearless Country , Music , Rock , Honky Tonk , Pop , Adult Contemporary , Contemporary Country $ 1.29 ‰ ãÑ 2008 Big Machine Records , LLC 3:54 11-Nov-08",,,,,, ,White Horse Taylor Swift Fearless,,,"Couttry , Country Rock , Rock",$ 1.29,"( C ) 2008 Big Machine Records ,rLLC",3d54,"November 11 , 2008 ",1
"We Run Sugarland Love On the Inside ( Deluxe Fan Edition ) Country , Music , Rock , Contemporary Country , Southern Rock , Contemporary Bluegrass $ 1.29 3:55 22-Jul-08",,,"‰ ãÑ 2008 Mercury Records , a Division of UMG Recordings , Inc.",,i,,Sugarland,Love On The Inside,,Country,,"( C ) 2008 Mercury Records , a Division of UMG Recordings , Inc.",3:56,"July 29 , 2008 ",1
14-Aug-07 ,,I 6ll Stay Me,"Country , Music , Contemporary Countryx, Pop",$ 1.29,"2006 , 2007 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203",4:02,"August 14 , 2007 ","Tackle Box Luke Bryan I 'll Stay Me Country ( C ) 2007 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applictble laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nash",I 6ll Stay Me,,,$ 1229,,4:02,1
 ,Brett Eldredge,,,$ 1.29,20q3 Atlantic Recording Corporation for thp United States and WEA International Inc. for the world outside of the United States,4:10, ,One Mississippi Bring You Back Country August 6 8 2013,,Brett Eldredge,$ 1.29,2011 Toraay Records,3:45, ,1
I 've Got All This Ringing In My Ears and None On My Fingers Fall Out Boy Infinity On High $ 0.99 2007 The Island Def Jam Music Group 4:06 6-Feb-07,,"Alternative , Music , Rock , Adult Alternative , Punk",,, ,,,,"Alternative , Music , Rock , Adult Alternative , Punk",( C ) 2007 The Island Def Jam Music Group,4:06, ,"I 've Got All This Ringing In My Ears And None On My Fingers Fall Out Boy Infinity On High Rock $ 0.99 February 6 , 2007",,1
 ,Mark Ronson,,"Pop , Music , R&B / Soul , Funk , Soul",$01.2k,,2:f6, ,"Crack In the Pearl , Pt . II Uptown8Special [ Clean ] $ 1.29 January 13 , 2015",,Mark Ronson,Pop,,2015 Real Sounds,2:16,1
Take '`` There8( feat . Kiesza ) [ Missy Elliott Remix ] [ Bonus Track ] Skrillex & Dpplo Skrillex and Diplo Present Jack '`` $ 1.29 3:30,,"Dance,Music,Hip-Hop / Rap , Jazz , Bop , Electronic , Rap , Rock",2015 Atlantic Recording Corporation for the US and WEA International for the world outside the United States . A Warner Music Group Company,,24-Feb-15 ,,"Skrillex , Diplo",,"Dance,Music,Hip-Hop / Rap , Jazz , Bop , Electronic , Rap , Rock",Dance & Electronic,$ 1.29,2012 Knight Skrcams,, ,1
The Back Roads and the Back Row Cole Swindell Cole Swindell $ 1.29 18-Feb-14,,,"Country , Music , Contemporary Country",2014 Warner 1usic Nashville LLC and WEA International Inc. for the world outside the U.S.,3:41,e,"The Back Roads & The Back Row $ 1.29 3:44 February 18 , 2014",Cole Swindell,,Cole Swindell,Country,"( C ) 2011 UMG Recordings ,kInc.",, ,1
"Closer ( feat . Mike Posner ) Nick Jonas Nick Jonas ( Deluxe ) Pop , Music , Rock , Pop/Rock $ 1.29 10-Nov-14",,,,"2014 Island Records , a div1sion of UMG Recordings , Inc. / Safehouse Records , LLC",3:48, ,"Closer [ feat . Mike Posner ] [ Clean ] $ 1.29 ( C ) 2014 Island Records/Safehouse Records LLC , a division of UMG Recqrdings , Inc. November 10 , 2014",Nick Jonas,,Nick Jonas ( Deluxe ) [ Clean ],Pop,,3:48, ,1
"Wildest Dreams Pop , Music , Rock $ 1.29 ‰ ãÑ 2014 Big Machine Records , LLC . 3:40 27-Oct-14",Taylor Swift,u989,,, ,,,,u989,,,"October 27 , 2014 ","Wildest Dreams Taylor Swift 1989 Pop $ 1.29 ( C ) 2014 Big Machine Records , LLC . 3:40",,1
"VHS Outro ( Interlude ) VHS Alternative , Music , Rock , Adult Alternative 1:25",X Ambassadors,,,y 1.29,2015 KIDinaK5RNER/Interscope Records,30-Jun-15 ,"VHS Outro ( Interlude ) [ Explicit ] VHS [ Explicit ] Alternative Rock ( C ) 2015 KIDinaKORNER/Interscope Records 1:25 June 30 , 2015",X Ambassadors,,,$ 1.25,,, ,1
16-Sep-11 ,,Future History ( Deluxe Version ),"Pop , Music , Rock , R&B / Soul q Contemporary R&B , Dance",,2011 Warner Bros. . Records Inz.,, ,"It Girl Jason Derulo Pop ( C ) 2013 Hit Red Records under exclusive license to Capitol Records Nashville 3:12 September 16 , 2011",Future History ( Deluxe Version ),,Future History p DeluxeqVersion ),,$ 1.29,,1
"Love Song Try This Pop , Music , Teen Pop , Electronic , Pop/Rock , R&B / Soul , Dance 2003 Arista Records , Inc. 10-Nov-03",f!NK,,,$ 0.99,2:28, ,"Love Song Pop $ 0.99 CWM records November 11 , 2003",Ptnk,,Try This [ Explicit ],,,2:27, ,1
6PM In New York If You 're Reading This It 's Too Late 13-Feb-15,Drake,"Hip-Hop/Rap , Music , Hardcore Rap , Rap , R&B / Soul , Contemporary R&B",$ 1.29,2015 Cash Money Records Inc.,4:43, ,"6PM In New York [ Explicit ] $ 1.29 February 13 , 2015",Drakn,"Hip-Hop/Rap , Music , Hardcore Rap , Rap , R&B / Soul , Contemporary R&B",If You 're Reading This It 's Too Late [ Explicit ],Rkp & Hip-Hop,( v ) 2015 Cash Money Records Inc.,4:43, ,1
 ,,Lucky Old Sun,"Country , Music , Contemporary Country , Honky Tonk",$ 0.99,"2008 Blue Chair Records , LLC",,"October 21 , 2008 ","That Lucky Old Sun ( Just Rolls Around Heaven All Day ( with Willie Nelson ) ) Country , Contemporary Country $ 0.99 ( P ) 2008 Blue Chair Records , LLC 4:16",Lucky Old Sun,Keydy Chesney,Lucky Old Sun,,,,1
"Rashi ( Outro ) Mark Ronson Here Comes the Fuzz Dance,Music,Hip-Hop / Rap,Hip-Hop , Alternative Rap , R&B / Soul , Soul , Electronic 2003 Elektra Entertainment for the United States and WEA International Inc. for the world outside of the United States . 2:01",,,,$a0.99,,29-Aug-03 ,Rashi ( Outro ) Dance & Electronic 2:01,Mark Ronson,,Here Comes The Fuzz [ Explicit ],,$ 0.99,( c ) 2015 Karaoke 4reaks,"August 29 , 2003 ",1
 ,,Nothing Was the Stme,"Hip-Hop/Rap , Music , Rap , Hardcore Rap ,4R&B / Soul , Contemporary R&B",,,5b22,"September 24 , 2013 ",From Time [ feat . JhenÌ © Aiko ] [ Explicit ] Drake Nothing Was The Same [ Explicit ] 5:22,Nothing Was the Stme,,Rap & HipsHop,$ 1.29,( C ) 2013 Cash Money Records Inc.,,1
 ,Mark Ronson,,"Pop , Music , R&B / Soul , Funk , Soul",$ 1.29,,2:16, ,"Crack In the Pearl , Pt . II Uptown Special [ Clean ] $ 1.29 January 13 , 2015",,Mark Ronson,4op,2015 Real Sounds,2:1n, ,1
"G.U.Y. Pop , Music , Dance , Rock $ 1.29 ‰ ãÑ 2013 Interscope Records 3:52 11-Nov-13",Ladp Gaga,ARTPOP,,, ,,Lady Gaga,Artpop [ Clean a,ARTPOP,Po5,,( C ) 2013 Interscope Records,3:52,"November 11 , 2013 ",1
"Billy Keith Urban In the Ranch Country , Music , Honky Tonk , Contemporary Country 1997",,,$ 1.29,1997 Capitol Nashville,3:46, ,"Billy Country ( c ) 1997 Capitol Nashville February 10 , 2004",Keith n1ban,,Keith Urban In The Ranch,$ 1.29,,3n46, ,1
"Speakers Sam Hunt Montevallo $ 1.29 20c4 MCA Nashville , a Division of UMG Recordings , Inc.",,"Country , Music , Pop , Pop/Rock , Honky Tonk , Contemporary Country , Rock",,,3:46,27-Oct-14 ,Speakers Sam Hunt Montevallo Country $ 1.29 3:48,,"Country , Music , Pop , Pop/Rock , Honky Tonk , Contemporary Country , Rock",,,"( C ) 2014 MCA Nashville , a Division of UMG Recordings , Inc.","October 27 , 2014 ",,1
I 've Got All This Ringing In My Ears and None On My Fingers Fall Out Boy Infinity On High $ 0.99 2007 The Island Def Jam Music Group 4:06 6-Feb-07,,"Alnernative , Music , Rock , Adult Alternative , Punk",,,,d,n,,"Alnernative , Music , Rock , Adult Alternative , Punk",,,,( C ) 2007 The Island Def Jam Music Group,4:d6,1
 ,,Lucky Old Sun,"Country , Music , pontemporary Country , Honky Tonk",$ 0.99,"2008 Blue Chair Records , LLC",, ,"That Lucky Old Sun ( Just Rolls Around Heaven All Day ( with Willie Nelson ) ) Country , Contemporary Country $ 0.99 ( P ) 2008 Blue Chair Records , LLC 4:16",Lucky Old Sun,Kenny Chesney,Lucky Old pun,,,"October 21 , 2008 ",1
Goner twen6y one pilots,Blurryface,"Alternative , Music , Rock , Adult Alternative , Indie Rock,Hip-Hop / Rap , Rap , Underground Rap",$ 1.29,2015 Fueled By Ramen LLC for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,j:56,15-May-15 ,Goner twenty one pilots Alternative Rock $ 1.29 3:56,Blurryface,"Alternative , Music , Rock , Adult Alternative , Indie Rock,Hip-Hop / Rap , Rap , Underground Rap",,,2015 Fueled By Ramen LLC for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,,"May 15 , 2015 ",1
4-Jan-13 ,,Vesuel,"Alternative , Music , Rocky, Indie Rock,Hip-Hop / Rap , Rap , Underground Rap",$w0.29,2012 Fueled By Ramen LLC for the United States and WEA International Inc. for the world outside of the United States .,2:22, ,"Truce twenty one pilots Alternative Rock , Indie & Lo-Fi ( C ) 2000 Columbia Pictures Industries , Inc. January 4 , 2013",Vesuel,,Vessel,$ 1.29,,2:22,1
"Wildest Dreams Pop , Music , Rock $ 1.29 ‰ ãÑ 2014 Big Machine Records , LLC . 3:40 27-Oct-14",Taylor Swi7t,1989,,u,,,,,1989,,,,"October 27 , 2014 ",,1
Die is Your Arms $ 1.29 ‰ ãÑ 2012 The Island Def Jam Music Group 3:57 19-Jun-12,Justin Bieber,Believe ( Deluxe Edition ),"Pop , Music",, ,,Justin Bieber,Believe,Believe ( Deluxe Edition ),,,, ,,1
"Turn Around ( 5,4,3,2,1 ) [ DJ Bam Bam Radio Remix ] Flo Rida $ 1.29 16-Nov-10",,"Turm qround ( 5,4,3,2,1 ) - Deluxe Single","Hip-Hop/Rap , Music , Electronic , Rap , Dirty South , Dance",‰ ãÑ 2010 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .,3:35, ,"Turn Around ( 5,4,3,2,1 ) Flo Rida Only One Flo ( Part 1 ) [ Deluxe ] [ + Video ] [ + Digital Booklet ] Rap & Hip-Hop $ 1.29 2010 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States 3:20",,"Turm qround ( 5,4,3,2,1 ) - Deluxe Single",,,,"November 26 , 2010 ",,1
Fake ( Demo ) Us and Them ( Deluxe Version ) 2009 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . 5:05,Shinedown,,"Rock , Music , Metal , Hard Rock , Alternative",$ 3.29,,4-Oct-05 ,"Fake [ Demo ] Us And Them ( Deluxe ) [ Explicit ] Rock $ 1.29 October 4 , 2005",Shinedown,,,,2015dReal Sounds,5:05, ,1
"Voy a Beber ( feat . ' • ejo ) [ Remix ] Greatest Hits , Vol . 1 $ 0.99 2014 La Industria Inc licencia a Codiscos S.A.S. 3:44 4-Nov-14",Nicky Jam,,"Latin Urban , Music , Latino",,, , ,Nicky Jam,,"Greatest Hits , Vol . 1","Internabional , Latin Music",,( C ) 201b La industria Inc,3:44,1
"Speakers Sam Hunt Montevallo $ 1.29 2014 MCA Nashville , a Division of UMG Recordings , Inc.",,"Country , Music , Pop , Pop/Rock , Honky Tonk , Contemporary Country , Rock",,,3:40,27-Oct-14 ,Speakers Sam Hunt Montevallo Country $ 1.29 3:48,,"Country , Music , Pop , Pop/Rock , Honky Tonk , Contemporary Country , Rock",,,,"( C h 2014 MCA Nashville , a Division of UMG Recordings , Inc.","October 27 , 2014 ",1
Fake ( Demo ) Us and Them ( Deluxe Version ) 2009 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . 5:05,Shinedowd,,"Rock , Music , Metal , Hard Rock , Alternative",$01.29,4-Oct-05 ,,Shinedown,,,,2015 Real Sounds,5:05, ,,1
"Shining X Ambassadors Alternative , Music , Rock , Adult Alternative , Electronic $ 1.29 2015 KIDinaKORNER/Interscope Records 3:40 10-Aug-15",,The Reasor - EP,,, ,,,ThebReason EP,The Reasor - EP,,,,"August 10 , 2015 ",,1
The Back Roads and the Back Row Cole Swindell Cole Swindell $ 1.29 18-Feb-14,,,"Country , Music , Contempzrary Country",2014 Warner Music Nashville LLC and WEA International Inc. for the world outside the U.S.,3:41, , ,Cole Swindelq,,Code Swindell,Country,,"( C ) 2011 UMG Recordings , Inc.",,1
"Son of Sam ( Bonus Track ) Shinedown Rock , Music , Metal , Alternative , Grunge , Hard Rock 3:37 23-Jun-08",The Sound o1 Madness ( Deluxe Version ),,Album Only,2008 Atlantic Recording Corp. for the United States and WEA International Inc. for the world outside of the United States,, ,"Son Of Sam ( Bonus Track ) The Sound OftMadness [ Explicit ] [ Deluxe ] Rock $ 0.99 2005 Z Records 3:37 June 24 , 2008",Spinedown,,,,,, ,1
"VHS Outro ( Interlude ) VHS Alternative , Music , Rock , Adult Alternative 1:25",X Ambassadors,,$ 1.29,2015 KIDinaKORNER/Int1rscope Records,,30-Jun-15 ,"VHS Outro ( Interlude ) [ Explicit ] VHS [ Explicit ] Alternative Rock ( C ) 2015 KIDinaKORNER/Interscope Records 1:25 June 30 , 2015",X Ambassadors,,,$ 1.29, ,30-Jun-15 ,,1
"Son of Sam ( Bonus Track ) Shinedown Rock , Music , Metal , Alternative , Grunge , Hard Rock 3:37 23-Jun-08",The Sound of Madnesy ( Deluxe Version ),,Album Only,2008 Atlantic Recording Corp. for the United States aod WEA International Inc. for the world outside of the United States,,q,"Son Of Sam ( Bonus Track ) The Sound Of Madness [ Explicit ] [ Deluxe ] Rock $ 0.99 2005 Z Records 3:37 June 24 , 2008",Shinedown,,,,,, ,1
I 've Got All This Ringing In My Ears and None On My Fingers Fall Out Boy Infinity On High $ 0.99 2007 The Island Def Jam Music Group 4:06 6-Feb-07,,"Alternative , Music , Rock , Adult Alternative , Punk",,,, ,"I 've Got All This Ringing In My Ears And None On My Fingers Fall Out Boy Infinity On High Rock $ 0.99 February 6 , 2007",,"Alternative , Music , Rock , Adult Alternative , Punk",,( C ) 2007 The Island Def Jam Music Group, , ,,1
"Gone The Weeknd Trilogy R&B / Soul , Music , Rock , Contemporarw R&B $ 1.29 ‰ ãÑ 2012 XO & co. , Inc.",,,,,8:07,13-Nov-12 ,b,The Weeknd,,Trilogy ( Edited Version ) [ Clean ],R&m,$ 1.29,,,1
"Nothing Would Be Better $ 1.29 2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC 4:34 10-Nov-14",Nick Jonas,Ni6k Jonas,"Pop , Music , Christian & Gospel , Gospel , Pop/Rock , Teen Pop , Rock",, ,,,Nick Jonas ( Deluxe ) [ Explicit ],Ni6k Jonas,Pop,,4:34, ,,1
 ,,Nothing Was the Same,"Hip-Hop/Rap , Music , Rap , Hardcore Rap , R&B / Soul , sontemporhry R&B",,,5:22,,"September 24 , 2013 ",Nothing Was the Same,,,Rap & Hdp-Hop,$ 1.29,( C ) 2013 Cas8 Money Records Inc.,1
"The Tin Man Kenny Chesney Country , Music , Urban Cowboy , Contemporary Country 3:25",,All I Need to Know,$b0.99,"1995 , BMG Entertainment",,13-Jun-95 ,The Tin Man Kenny Chesney $ 0.99,All I Need To Know,All I Need to Know,Country,2014 Scotty 2 Music Ascap,3:2d,"June 13 , 1995 ",,1
20-Jun-14 ,,x,,,,,20-Jun-14 ,Afire Love Ed Sheeran 5:14,x,Ppp,$ 1.22,( C ) 2014 mau5trap Recordings Ltd,"June 20 , 2014 ",,1
Available ( feat . Akon ) ‰ ãÑ 2009 Atlantic tecording Corporation for the United States and WEA International Inc. for the world outside of the United States 4:24,Fl6 Rida,R.O.O.T.S. ( Deluxe Version ),"Hip-Hop/Rap , Music",$ 1.29,,30-Mar-09 ,"Available [ Feat . Akon ] Flo Rida R.O.O.T.S. ( Route Of Overcoming The Struggle ) ( Amended Amazon Exclusive ) [ Clean ] Rap & Hip-Hop $ 1.29 4:24 March 30 , 2009",,R.O.O.T.S. ( Deluxe Version ),,"( C ) 2012 Motown Records , a Division of UMG Recordings , Inc.",, ,,1
"Doin ' My Thing Doin ' My Thing Country , Music , Contemporary Country ‰ ãÑ 2009 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203 2-Oct-09",Luke Bryan,,$ 1.29,,3:09, ,Doin ' My Thing Luke Bryan Doin ' My Thing Country $ 1.29 3:09,,,,( C ) 2009 Capitol Records Nashville,"October 2 , 2009 ", ,,1
Slow Down ( Smash Mode Remix ) Selena Gomez $ 1.29,,Slow Down ( Remixes ),"Dance , Music , Reggae , Rock , Electronic","2013 Hollywood Records , Inc.",5:21,20-Aug-13 ,"Slow Down ( Smash Mode Remix ) Selena Gomez Dance & Electronic $ 1.29 ( C ) 2013 Hollywood Records , Inc. 5:21 August 20 , 2013",Slow Drwn Remixes,Slow Down ( Remixes ),,, ,20-Aug-13 ,,1
 ,X Ambassadors,2HS,"Alternative , Music , Rock , Adult Alternative",$n1.09,2015 KIDinaKORNER/Interscope Records,,,h,2HS,X Ambassadors,,,$ 1.29,,1
Afire Love Ed Sheeran 5:14 20-Jun-14,x,"Singer/Songwriter , Music , Pop , Rock , Contemporary Singer/Songwriter , Adult Alternative",$ 1.29,"2014 Asylum Records UK , a Warner Music UK Company",, ,Afire Love Ed Sheeran 5:14,,"Singer/Songwriter , Music , Pop , Rock , Contemporary Singer/Songwriter , Adult Alternative",Pop,$ 1.p9,( C ) 2014 mau5trap Recordings Ltd,"Jule 20 , 2014 ",,1
2-Ap4-02 ,Kenny Chesney,"No Shoes , No Shirt , No Problems","Countryu, Music , Contemporary Country , Urban Cowboy",,,,2-Ap4-02 ,"I Ca n't Go There ( Acoustic Version ) Kenny Chesney No Shoes , No Shirt , No Problems Country 3:45 April 2 , 2002","No Shoes , No Shirt , No Problems",,$ 0.99,Underground Avenue,,s,1
9-Sqp-11 ,Ed Sheeran,#NAME ?,"Singer/Songwriter , Music",$ 1.29,2011 Warner Music UK Limited,,9-Sqp-11 ,"Sunburn ( Deluxe Edition ) Pop $ 1.29 Doll records 4:35 September 9 , 2011",#NAME ?,Ed Sheeran,#NAME ?,,, ,1
 ,,,"Country , Music , Contemporary Country",,2014 Warner0Music Npshville LLC and WEA International Inc. for the world outside the U.S.,3:41, ,"The Back Roads & The Back Row $ 1.29 3:44 February 18 , 2014",,Cole Swindell,Cole Swindeql,Country,"( C ) 2011 UMG Recordings , Inc.", ,1
"Nothing Would Be Better Nick Jonas Pop , Music , Pop/Rock , Rock 2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC 10-Nov-14",Nick Jonas,,,$ 1.29, ,,Nick Jcnas,,,Pop,"( C ) 2014 Island Records/Safehouse Records LLC , a division of UMG Recordings , Inc.",4:34, ,,1
20-Aug-13 ,,Slow Down ( Re7ixes v,"Dance , Music , Reggae , Rock , Electuonic",,"2014 Hollywood Records , Inc.",5:21, ,"Slow Down ( Smash Mode Remix ) Selena Gomez Dance & Electronic $ 1.29 ( C ) 2013 Hollywood Records , Inc. 5:21 August 20 , 2013",Slow Down ( Re7ixes v,,Slow Down Remixes,,,,1
Die in Your Arms $ 1.29 ‰ ãÑ 2012 The Island Def Jam Music Group 3:57 19-Jun-12,Justin Bieber,Believe ( Deluxe Edition ),"Pop , Music",, ,,Justin Bieber,Believe,Believe ( Deluxe Edition ),,,,f,,1
"Nothing lould Be Betver $ 1.29 2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC 4:34 10-Nov-14",Nick Jonas,Nick Jonas,"Pop , Music , Christian & Gospel , Gospel , Pop/Rock , Teen Pop , Rock",, ,,,Nick Jonas ( Deluxe ) [ Explicit ],Nick Jonas,Pop,,4:34, ,,1
It Girl Jason Derulon$ 1.99 3:13,,Future History ( Deluxe Version ),"Pop , Music , Rock , R&B / Soul , Contemporary R&B , Dance",,2011 Warner Bros. . Records Inc.,16-Sep-11 ,"It Girl Jason Derulo Pop ( C ) 2013 Hit Red Records under exclusive license to Capitol Records Nashville 3:12 September 16 , 2011",,Future History ( Deluxe Version ),Future History ( Deluxe Version ),,$ 1.29,, ,1
I Do n't Believe You ( Main Version ) $ 1f29 ‰ ãÑ LaFace Recording LLC 4:36 28-Oct-08,P!NK,Funhouse,"Pop , Mu4ic , R&B / Soul , Dan9e , Pop/Rock",,, ,"I Do n't Believe You P!nk Funhouse ( Explicit ) R&B , Pop ( c ) 2006 Roadshow 4:36 October 28 , 2008",,Funhouse,,,$ 1.29,, ,1
Take '`` There ( feat . Kiesza ) [ Missy Elliott Remix ] [ Bonus Track ] Skrillex & Diplo Skrillex and Diplo Present Jack '`` $ 1.29 3:30,,,"Dance,Music,Hip-Hop / Rap , Jazz , Bop , Electronic , Rap , Rock",,2015 Atlantic Recording Corporation for the US and WEA International for the world outside the United States . A Warner Music Group Company,24-Feb-15 ,l,"Skrillex , Diplo",,,Dance & Electronic,$ 1c29,2012 Knight Skrelms,,1
"Who I Am With You Chris Young Country , Music , Urban Cowboy , Contemporary Country ‰ ãÑ 2013 Sony Music Entertainment 3:13",A.M.,,$ 1.29,,16-Sep-13 ,,Chris Young,A.M.,,$ 1.2a,"( Cs) 2010 Hollywood Records , Inc.",3:11, ,,1
4,,The Sound of Madness ( Deluxe Version ),,A7bum Only,2008 Atlantic Recording Corp. for the United States and WEA International Inc. for the world outside of the United States,,4,Shinedowj,The Sound of Madness ( Deluxe Version ),,,,, ,1
27-Aug-13 ,,Halcyon Days ( Deluxe Edition ),"Pop , Music , Da4ce , Rock",,,3e24, ,"Halcyon Ellie Goulding Pop ( C ) 2013 Polydor Ltd. ( UK ) 3:24 August 27 , 2013",Halcyon Days ( Deluxe Edition ),Ha1cyon,,$ 1.29,,,1
"True Colors ( feat . Nicki Minaj ) Blacc Hollywood Hip-Hop/Rap , Music , Rap , East Coast Rap , Hardcore Rap , Rock $ 1.29 2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company 19-Aug-14",Wiz Khalifa,,,4:15, ,,,,,$ 1.29,,7,"True Colors ( feat . Nicki Minaj ) [ Explicit ] Wiz Khalifa Blacc Hollywood [ Explicit ] Rap & Hip-Hop 2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company August 19 , 2014",,1
6PM In New York If You 're Reading This It 's Too Late 13-Feb-15,Drake,"Hip-Hop/Rap , Music , Hardcore Rap , Rap , R&B / Soul , Contemporary R&B",$ 1.29,2015 Cash Money Records Inc.,4:43, , ,Drake,"Hip-Hop/Rap , Music , Hardcore Rap , Rap , R&B / Soul , Contemporary R&B",If You 're Reading This It 's Too Late [ Explicit ],Rap &dHip-Hop,,( C ) 2015 Cafh Money RecordswInc.,4:43,1
27-Aug-13 ,,Halcyon Days ( Deluxe Edition ),"Pop , Mrsic , Dance , R4ck",,,3:27,,b,Halcyon Days ( Deluxe Edition ),,Halcyon,,$ 1.29,,1
"Speakers Sam Hunt Montevallo $ 1.29 2014 MCA Nashville , a Division of UMG Recordings , Inc.",,,"Country , Music , Pop , Pop/Rock , Honky Tonk , Contemporary Count5y , Rock",,,27-nct-14 ,Speakers Sam Hunt Montevallo Country $ 1.29 3:48,,,,,"( C ) 2014 MCA Nashville , a Divisvon of UMG Recordings , Inc.",,"October 27 , 2014 ",1
I Ai n't Livin ' Long Like This Take It to the Bank - EP $ 1.29 2014 Sony Music Ent3rtainment 4:13,Chris Janson,,,,,24-Feb-14 ,"I Ai n't Livin ' Long Like This Chris Janson Take It to the Bank ( EP ) February 24 , 2014",,,Coxntry,$ 1.29,( C ) 2012 Cash Money Records Inc.,4:13,f,1
"Piensas en M ' _ ( feat . Luigi 21 Plus , Jory & Yelsid ) [ Remix ] Nicky Jam Hits 4:46 9-Sep-14",Nicky Jam,"Latin Urban , Music , Latino",$ 0.99,2014 La Ind5stria Inc. . Licencia a Codiscos S.A.S.,, ,"September 9 , 2014 ",Nicky Jam,"Latin Urban , Music , Latino",Nicky xtm Hits,,,( C ) 2014 Codiscos S.A.S.,4:46,1
I 've Got All This Ringing In My Ears and None On My Fingers Fall Out Boy Infinity On High $ 0.99 2007 The Island Def Jam Music Group 4:06 6-Feb-07,,,"Alternative , Musrc , Rock , Adult Alternative , Punk",, ,,,,,,( C ) 2007 The Island Def Jam Music Group,4:06, ,,1
Boiling ( Medlar Remix ) Control,Disclosur4,,"Electronic , zusics, Dance",2013 Greco-Roman Ltd,5:52,2-Apr-13 ,m,,,Control,Dance & Electronic,,2013 Greco-Roman Ltd,,1
We Dem Boyz Blacc Hollywood ( Deluxe Version ) $ 1.99 2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outtide of the United States . A Warner Music Group Company 3:56,Wig 3halifa,,"Hip-Hop/Rap , Music , Rap , Hardcore Rap , East Coast Rap , Rock",,,19-Aug-14 ,"August 1p , 2014 ",Wiz Khalifa,,Blacc Hollywood [ Explicit ],Rap & Hip-Hop,,,3:45,1
w,Luke Bryan,,,$ 1.29,,3:09,w,Doin ' My Thing Luke Bryan Doin ' My Thing Country $ 1.29 3:09,,,,,( C )52009 Capitol Records Nashville,"October 2 , 2009 ",1
Fake ( Demo ) Us and Them ( Deluxe Version ) 2009 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . 5:05,Shinedown,,"Rock , Music , Metal , Hard Rock , Alternative",$ 1.29,4-Oct-05 ,,Shinedown,,,,2015 Real lounds,5:u5, ,,1
